user_ID,grooming,shedding,energy,trainability,demeanor,size
1,0,0.8,0.55,0.5,0.583333333,0.5
2,0,0.8,0.55,1,0.458333333,0.5
3,0,0,1,0,0.5,0.5
4,0.5,0.8,0.55,1,0.375,0.5
5,0.5,0,0.7,1,0.775,0.75
6,0,0.8,0.9,0,0.4375,0.75
7,0,0,0.35,0.5,0.791666667,0.25
8,0.5,0.8,0.55,0.5,0,0.5
9,0.5,0,0.2,1,1,0
10,1,0,0.45,0,0.75,0.5
11,0,0,0.1,0.5,0.6875,0
12,0,0.8,0.8,0.5,0.75,1
13,1,0.8,0.8,0,0.5,1
14,1,0.8,0.8,0.5,0.458333333,1
15,1,0,0.9,0.5,0.375,1
16,1,0,1,1,0.729166667,1
17,1,0,0.9,1,0.875,0.5
18,0.5,0,0.9,1,0.75,0
19,0.5,0,0.9,1,0.78125,0.5
20,0.5,0,0.65,1,0.729166667,0
21,0.5,0,0.65,1,0.9375,0
22,0.5,0,0.65,0.5,0.875,0
23,0.5,0,0.75,1,0.625,0
24,0.5,0.8,0.75,1,0.729166667,0
25,0.5,0.8,0.75,1,0.875,0
26,0.5,0.8,0.75,1,0.78125,0.5
27,0.5,0.8,0.75,1,0.729166667,0.5
28,0.5,0.8,0.75,1,0.725,0.5
29,0.5,0.8,0.75,1,0.875,0.5
30,0.5,0.8,0.55,1,0.9375,0.5
31,0.5,0.8,0.55,1,0.708333333,0.5
32,0.5,0.8,0.55,1,0.75,0.5
33,0.5,0.8,0.55,1,0.708333333,0.5
34,0.5,0.8,0.55,1,0.729166667,0.5
35,0.5,0.8,0.55,1,0.625,0.5
36,0.5,0.8,0.55,1,0.625,0.5
37,0.5,0.8,0.55,1,0.8125,0.5
38,0.5,0.8,0.55,1,0.875,0.5
39,0.5,0.8,0.55,1,0.725,0.5
40,0.5,0.8,0.55,1,0.75,0.5
41,0.5,0.8,0.55,1,0.791666667,0.5
42,0.5,0.8,0.55,1,0.875,0.5
43,0.5,0.8,0.55,1,0.8125,0.5
44,0.5,0.8,0.55,1,0.5,0.5
45,0,0,0.6,0,0.75,0.5
46,1,0.8,1,0,0.875,1
47,0.5,0.8,0.65,0.5,0.5,0.75
48,0,0,0.4,1,0,0
49,0.5,0,0.55,0.5,0.729166667,0.5
50,1,0,1,0,0.458333333,1
51,0.5,0,0.8,0.5,0.3125,0.5
52,0.5,0,0.9,0.5,0.75,1
53,1,0,0.2,0.5,0.375,0.25
54,0,0,0.7,0,0.333333333,0.5
55,0.5,0,0.9,0,0.166666667,0.25
56,0,0,0.8,0.5,0.583333333,0.5
57,0,0,0.55,0.5,0.6875,0.75
58,0.5,0,0.35,0.5,0,0.5
59,0.5,0.8,0.8,0,0.25,0.5
60,0,0,1,0.5,0.708333333,0.5
61,0.5,0.8,0.9,0.5,0.625,0.75
62,0.5,0,1,0.5,0.5,0.5
63,1,0,0.8,0.5,0.833333333,1
64,1,0.8,0.65,0.5,0.25,0.75
65,0.5,0.8,0.9,0,0.84375,0.75
66,0.5,0,0.8,0,0.375,0.75
67,0.5,0.8,0.2,1,0.25,0
68,0.5,0,1,0.5,0.84375,1
69,1,0.8,1,0,0.333333333,1
70,0.5,0.8,0.9,0.5,0.75,0.5
71,0.5,0,0.45,0.5,0.75,0.5
72,0.5,0,0.1,0.5,0,0
73,0,0.8,1,1,0.875,1
74,1,0.8,0.8,0,0.708333333,0.5
75,0.5,0.8,0.55,0.5,0.75,0.5
76,1,0.8,0.7,0.5,0.25,0.25
77,1,0.8,0.9,0,0.6875,1
78,0.5,0,0.7,0,0.166666667,0.5
79,0,0,0.75,1,0.55,0.25
80,0.5,0,0.9,0,0.333333333,0.5
81,1,0,0.35,1,0.458333333,0.75
82,1,0,0.8,0,0.25,0.75
83,1,0.8,1,0.5,0.84375,1
84,0.5,0,0.45,0.5,1,0
85,1,0.8,0.55,0,0.458333333,1
86,0.5,0.8,0.45,0.5,0.9375,0.25
87,1,0,0.45,0.5,0,0.75
88,0.5,0.8,0.7,1,0.729166667,0.25
89,0,0,0.55,0.5,0.5,0
90,0.5,0.8,0.9,1,0.333333333,0.5
91,0.5,0.8,0.6,0.5,0.71875,0.25
92,1,0.8,0.3,0.5,0.25,0.5
93,0.5,0.8,0.1,1,0.75,0.25
94,0,0,0.2,0.5,0.375,0
95,1,0,0.8,0,0.6875,0.75
96,0,0.8,0.65,0,0.625,1
97,1,0,0.45,0.5,0.6875,0.5
98,1,0.8,0.3,0.5,0.666666667,0.75
99,0.5,0,0.55,0.5,0.875,0.5
100,0.5,0.8,0.45,0.5,0,0.75
101,1,0,0.1,0,0,0
102,0.5,0,0.65,1,0.5,0.25
103,0,0,0.55,0.5,0.75,0.5
104,1,0,0.65,0.5,0.25,0.5
105,0,0,0.3,1,0.375,0.25
106,0.5,0,0.4,0,0.416666667,0.5
107,0.5,0.8,0.55,1,0,0.25
108,0.5,0,0.3,0.5,0.75,0.5
109,0.5,0.8,0.65,0.5,0.875,0.25
110,0.5,0.8,0.55,1,0.375,0.5
111,0.5,0,0.3,1,0,0.25
112,0.5,0.8,0.3,0.5,0.5,0.25
113,0.5,0,0.3,0.5,0.5,0.5
114,0.5,0.8,0.55,1,0,0.5
115,0.5,0,0.55,1,0.5,0.5
116,0.5,0.8,0.55,0.5,0,0.5
117,0.5,0.8,0.55,1,0.5,0.25
118,0,0,0.3,0.5,0,0.5
119,0,0,0.3,0.5,1,0.25
120,0,0.8,0.3,1,0,0.5
121,0.5,0,0.3,0.5,0,0.25
122,0.5,0,0.55,1,0,0.25
123,1,0.8,0.3,1,1,0.75
124,0.5,0.8,0.55,1,0,0.25
125,0.5,0,0.3,1,0,0.25
126,0.5,0,0.55,0.5,0,0
127,0,0.8,0.3,1,1,0.5
128,0,0,0.3,1,0.25,0.5
129,0.5,0,0.3,1,1,0
130,0,0,0.3,0.5,0.5,0.5
131,0,0.8,0.65,0.5,0,0.25
132,1,0.8,0.8,0,0.5625,0.75
133,0.5,0,0.6,0,0.416666667,0.5
134,1,0,0.6,0,0.416666667,0.5
135,0,0,0.8,1,0.416666667,0
136,0.5,0,0.55,1,0.875,0.5
137,0.5,0.8,0.55,0.5,0.78125,0.75
138,0.5,0,0.55,0.5,0.666666667,0.5
139,0.5,0,0.55,0.5,0.416666667,0.75
140,1,0,0.55,0,0.75,0.5
141,0,0.8,0.2,1,0.5,0
142,1,0.8,1,0,0.458333333,0.75
143,1,0,0.4,1,0.458333333,0
144,1,0,0.2,1,0.5,0
145,0.5,0,0.6,0.5,0.375,0.25
146,1,0.8,1,0,0.458333333,1
147,0.5,0.8,0.4,0.5,0.625,0.5
148,0.5,0,0.6,1,0.625,0
149,0.5,0,0.2,1,0.625,0
150,0.5,0,0.1,1,0.5,0
151,1,0.8,1,0,0.875,1
152,1,0.8,0.8,0.5,0.5625,0.5
153,1,0,0.7,0,0.875,0.75
154,1,0.8,1,0,0.55,1
155,0.5,0,0.45,1,0.5,0
156,0,0,0.1,1,0.5,0
157,0.5,0,0.9,1,0.25,0.25
158,0,0,0.1,1,0.5,0
159,0.5,0.8,0.55,0.5,0.875,0.25
160,0.5,0,0.9,1,0.75,0.25
161,0.5,0,0.9,1,0.5,0.5
162,0,0,0.55,0.5,0.5,0
163,0.5,0,0.55,1,0.75,0.25
164,0.5,0.8,0.9,1,0.5,0.75
165,0.5,0,0.55,0.5,0,0
166,0.5,0.8,0.65,0.5,0.75,0.5
167,0,0,0.55,0.5,0.875,0
168,0.5,0.8,0.9,0.5,0.5,0.75
169,0.5,0.8,0.65,0.5,0.875,0.75
170,0.5,0,0.55,0.5,0,0
171,0.5,0.8,0.55,0.5,0.75,0.25
172,0.5,0.8,0.55,0.5,0.5,0.5
173,0.5,0,0.45,0.5,0.9375,0
174,0.5,0.8,0.65,0.5,0.666666667,1
175,0.5,0,0.65,0.5,0.6875,0.5
176,0.5,0.8,0.65,0.5,0.625,0.5
177,0.5,0,0.55,0.5,0.625,0.5
178,0.5,0.8,0.65,0.5,0.875,0.5
179,0.5,0,0.65,0.5,0.5,0.5
180,0.5,0,0.55,1,0.5,0.75
181,0,0,0.1,1,0.75,0
182,0.5,0,0.45,1,0.375,0.5
183,1,0.8,0.8,0,1,1
184,0.5,0.8,0.65,1,0.75,0
185,0.5,0,0.55,0.5,0.791666667,0.5
186,0.5,0,0.45,0.5,0.5,0.5
187,1,0.8,0.65,1,0.75,0.5
188,0.5,0.8,0.55,1,0,0.5
189,1,0,1,0,0.75,1
190,0.5,0,0.65,0.5,0,0.5
191,0.5,0.8,0.55,1,0.875,0.5
192,0,0.8,0.2,1,0.75,0
193,1,0,0.6,0,0.729166667,1
194,0,0,0.3,1,0,0.5
195,0,0,0.45,1,0.875,0
196,0,0,0.35,0.5,0.5,0.75
197,0,0.8,0.9,0,0.55,1
198,0.5,0.8,0.8,1,0.25,0.25
199,0,0,0.35,1,0.25,0.25
200,0.5,0.8,0.3,1,0.625,0.25
201,1,0,0.8,1,0.625,0.25
202,0.5,0,0.55,1,0.6875,0.5
203,1,0,0.2,0.5,0.75,0
204,0.5,0,0.55,0.5,0.375,0.5
205,0,0.8,0.3,1,0.375,0.5
206,0.5,0,0.4,0.5,0.84375,0.25
207,0,0,0.1,1,0.75,0
208,0,0,0.1,1,0.75,0.25
209,0,0,0.1,1,0.875,0
210,0,0,0.1,1,0.75,0
211,1,0,0.8,0.5,0.75,0
212,1,0,0.35,0.5,0,0.75
213,0.5,0.8,0.8,0.5,0.5,0.5
214,0.5,0,0.75,0.5,0.5,0.5
215,1,0.8,0.55,0,0.4375,0.75
216,0,0.8,0.45,0.5,0.25,0.75
217,0.5,0,0.55,0,0.875,0.25
218,0.5,0,0.1,1,0.25,0.5
219,1,0.8,0.65,0.5,0.75,0.75
220,0.5,0.8,0.75,0.5,0,0.75
221,0.5,0,0.8,0.5,0.166666667,0.5
222,1,0.8,0.9,0,0.625,0.5
223,1,0.8,0.65,0,0.166666667,0.5
224,1,0.8,0.65,0.5,0.4375,0.75
225,0.5,0,0.65,1,0.25,0.25
226,1,0.8,0.75,0,0.5,0.5
227,0.5,0.8,0.45,0.5,0.75,0.75
228,0.5,0,0.45,0.5,0.625,0.25
229,1,0.8,0.75,0,0.25,0.75
230,0,0,0.1,1,0.6875,0
231,1,0,0.7,0,0.5,0.5
232,1,0.8,0.6,0.5,1,1
233,1,0,0.55,0.5,0.25,0.75
234,0,0,0.55,0,0.5,1
235,1,0.8,1,0.5,0.75,1
236,0.5,0,0.6,0,0.4375,0.75
237,0,0,0.1,1,0.75,0
238,0,0,0.2,1,0.833333333,0
239,1,0.8,0.55,0.5,0.6875,1
240,0,0,0.1,1,0.75,0
241,0,0,0.1,1,0.791666667,0
242,0,0,0.6,1,0.708333333,0
243,1,0,0.65,1,0.625,0.25
244,0.5,0,0.6,1,1,0.75
245,1,0.8,1,0.5,0.6875,0.75
246,0,0,0.5,1,0.875,0
247,0.5,0,0.55,1,0.875,0.5
248,0.5,0.8,0.65,1,0.78125,0.5
249,0.5,0.8,0.55,1,0.458333333,1
250,0,0,0.55,1,0.75,0
251,0.5,0,0.55,1,0.375,0.5
252,0,0.8,0.45,1,0.875,0
253,0.5,0.8,0.55,0.5,1,0.5
254,0,0,0.1,1,0.75,0
255,0.5,0,0.55,0.5,0.5625,0.5
256,1,0.8,1,0,0.75,1
257,0,0.8,0.55,1,0.725,0
258,0,0,0.1,1,0.75,0
259,0.5,0,0.6,1,0.875,0.75
260,0.5,0.8,0.55,0.5,1,0.25
261,1,0.8,0.75,1,0.5,0
262,0.5,0,0.55,1,0.75,0.5
263,0.5,0.8,0.65,1,0.875,0.25
264,0,0.8,0.55,1,0.833333333,0.25
265,0.5,0,0.65,1,0.78125,0.75
266,0,0.8,0.55,1,0.708333333,0.25
267,0,0.8,0.3,1,0.416666667,0.5
268,0,0.8,0.55,1,0.875,0.25
269,1,0.8,0.65,0,0,0.5
270,0.5,0,0.6,0,0.625,0
271,0.5,0,0.2,0.5,0.625,1
272,1,0.8,0.4,1,0.8125,0.25
273,0,0.8,0.8,0.5,0.5,0.25
274,0,0.8,0.8,1,0.75,0
275,0,0,0.8,1,0.5,0.25
276,0.5,0,0.75,1,0.4,0.5
277,0,0,0.1,1,0.75,0
278,0.5,0,0.45,1,0,0.5
279,0,0,0.65,0.5,0.458333333,0
280,0,0.8,0.55,0.5,0.5,0.75
281,0,0,0.2,1,0,0
282,0.5,0.8,0.55,1,0.583333333,0.5
283,0.5,0.8,0.55,0,0.583333333,0.75
284,1,0.8,0.9,0,0.6875,1
285,0,0,0.55,1,0.708333333,0
286,0,0,0.2,1,0,0.25
287,0.5,0.8,0.75,1,0.416666667,0.5
288,0.5,0,0.55,1,0.875,0.75
289,0,0,0.3,1,0.84375,0.25
290,0.5,0,0.7,0.5,0.75,0.5
291,0.5,0,0.1,0,0.625,0.5
292,1,0,0.9,0.5,0.875,0.75
293,1,0.8,0.55,0,0.5625,0.25
294,1,0,0.8,0,0.708333333,1
295,1,0,0.55,0.5,0.5,0.75
296,1,0,0.8,0,0.166666667,0.5
297,1,0.8,0.8,0,0.333333333,0.75
298,0.5,0,0.65,0.5,0.4375,0.25
299,0.5,0.8,0.55,0.5,0.416666667,0.75
300,0.5,0.8,0.65,0.5,0.416666667,0.5
301,0.5,0,0.55,0,0.5625,0.75
302,1,0.8,0.8,0,0.5,0.5
303,0,0,0.3,1,0.75,0.5
304,0,0,0.3,1,0.5,0
305,0,0,0.55,1,0,0.75
306,0,0,0.55,1,0.5,0.5
307,0,0.8,0.3,1,0.75,1
308,0,0,0.55,1,1,0
309,0,0,0.55,1,0,0.5
310,0.5,0.8,0.3,0.5,1,0.5
311,0.5,0,0.45,1,1,0.5
312,0.5,0,0.3,1,1,0.5
313,0.5,0,0.55,0.5,0.5,0.5
314,0,0.8,0.3,1,0,0.25
315,0,0,0.55,1,0.25,0.5
316,1,0.8,0.9,0,0.583333333,1
317,0.5,0,0.55,0.5,0.5,0.5
318,0.5,0.8,0.55,1,0.5,0.5
319,0,0,0.3,0.5,0.5,0.5
320,0,0,0.8,1,1,0.25
321,0,0.8,0.55,0.5,0,0.25
322,0.5,0.8,0.3,0.5,0.5,0.5
323,1,0.8,0.55,0.5,0,0.25
324,0.5,0.8,0.55,0.5,0,0.5
325,0,0,0.55,1,0,0.5
326,0.5,0.8,0.3,0.5,1,0.5
327,0.5,0,0.55,0.5,0.625,1
328,0.5,0.8,0.55,0.5,0,0.5
329,0.5,0.8,0.55,1,0.25,0.5
330,0,0.8,0.8,0.5,0,0.25
331,0.5,0.8,0.55,0,0,0.5
332,0.5,0,0.55,1,1,0.5
333,0.5,0.8,0.55,1,0.75,0.5
334,0.5,0.8,0.3,0.5,1,0.5
335,0.5,0.8,0.55,1,1,0.5
336,0.5,0.8,0.8,1,0.5,0.75
337,0,0.8,0.55,0.5,1,0.25
338,0.5,0.8,0.55,1,0.458333333,0.25
339,0.5,0,0.55,0,0.5,0.75
340,0.5,0,0.55,1,0.625,0
341,0.5,0.8,0.9,0.5,0.875,0.75
342,0.5,0.8,0.55,0.5,0.75,0.5
343,0.5,0,0.45,0,0.75,0
344,0.5,0.8,0.55,0.5,0.25,0.25
345,0.5,0.8,0.9,1,0.75,0.25
346,0.5,0.8,0.65,1,0.5,1
347,0.5,0,0.55,0.5,0.75,0.5
348,0.5,0.8,0.55,0.5,0.75,0.5
349,1,0,1,0,0.583333333,1
350,0.5,0,0.55,0.5,0.416666667,0.75
351,0.5,0,0.55,1,0.6875,0
352,0.5,0,0.9,0,0.4375,0.75
353,1,0.8,0.9,0,0.416666667,0.5
354,0.5,0,0.65,0.5,0.458333333,0.75
355,1,0,0.65,0.5,0,0.5
356,1,0,0.75,0.5,0.75,0.75
357,0.5,0,0.45,0.5,0.5,0.25
358,0.5,0,0.45,0,0.5,0.5
359,0.5,0,0.3,1,0.666666667,0.25
360,0,0,0.1,1,0.5,0
361,0,0,0.1,1,0.75,0
362,1,0,0.2,0.5,0.6875,0.75
363,0,0,0.35,1,0.75,0
364,0.5,0,0.55,0.5,0.75,0.25
365,0,0,0.2,1,0.5,0
366,1,0,0.7,0.5,0.5,1
367,0,0,0.1,1,0.75,0
368,0.5,0,0.45,1,1,0.25
369,0,0.8,0.55,1,0.875,0.25
370,0,0,0.45,1,1,0.5
371,0.5,0,0.35,0.5,0.5,0
372,0.5,0.8,0.55,1,0.25,1
373,0,0,0.45,0.5,0.5,0.75
374,0.5,0,0.4,1,0.5,0.25
375,0,0,0.35,0.5,0.5,0.5
376,0.5,0.8,0.2,0.5,0.625,1
377,0,0,0.8,1,1,0
378,0,0.8,0.4,1,0.583333333,0.25
379,0,0,0.2,1,0.75,0
380,0,0,0.2,1,0,0.5
381,1,0.8,0.1,0,0.9375,0.25
382,0.5,0,0.4,1,0,0.25
383,0.5,0,0.35,1,0.875,0.75
384,0.5,0,0.45,1,1,0.5
385,0,0,0.3,1,0.75,1
386,0,0,0.2,0.5,0.5,0.25
387,0,0,0.5,1,0.875,0
388,1,0.8,0.55,0.5,0.78125,0
389,0.5,0.8,0.4,0.5,0.5625,0.75
390,0.5,0.8,0.8,0.5,0.78125,0.5
391,0,0.8,0.1,0.5,0.875,0.5
392,0.5,0.8,0.45,1,0.8125,0.75
393,1,0.8,0.65,1,0.875,0.75
394,0.5,0.8,0.45,1,0.875,0.25
395,0,0,0.1,1,0.75,0
396,0,0,0.2,1,0.875,0.25
